TradeTime,SecurityID,TotalVolumeTrade,TotalValueTrade
2023.02.01T09:58:36.000,A00001,89812,60958.947999999996682
2023.02.01T09:58:39.000,A00001,89812,60958.947999999996682
2023.02.01T09:58:42.000,A00001,90012,61094.747999999999592
2023.02.01T09:58:45.000,A00001,90212,61230.548000000002502
2023.02.01T09:58:35.000,B00002,536946,995298347.200000047683715
2023.02.01T09:58:38.000,B00002,537446,996224847.200000047683715
2023.02.01T09:58:41.000,B00002,537646,996595447.200000047683715
2023.02.01T09:58:44.000,B00002,537846,996965937.200000047683715
2023.02.01T09:58:42.000,C00003,8162530,2.40036586786E9
2023.02.01T09:58:45.000,C00003,8175630,2.40427427486E9
2023.02.01T09:58:48.000,C00003,8187230,2.40773574486E9
2023.02.01T09:58:51.000,C00003,8213630,2.41561532486E9
2023.02.01T09:58:03.000,D00004,0,0
2023.02.01T09:58:08.000,D00004,0,0
2023.02.01T09:58:17.000,D00004,0,0
2023.02.01T09:58:20.000,D00004,0,0
